Model,W,Fold,Accuracy,Precision,Recall,F1
DT,500,1,98.01488833746899,98.01610758090735,98.01847290640394,98.01487611447712
RF,500,1,99.50372208436724,99.50310329540417,99.50554187192118,99.50370986114959
SVM,500,1,99.37965260545906,99.38271604938271,99.38423645320196,99.37965165054223
NB,500,1,93.54838709677419,93.66298874407583,93.56834975369458,93.5458437278635
KNN,500,1,98.01488833746899,98.06085477669329,98.02770935960592,98.01469275153485
GBC,500,1,99.25558312655087,99.25681000935914,99.25923645320196,99.25557854292893
LR,500,1,99.62779156327544,99.62716665127304,99.62869458128078,99.6277772389938
DT,500,2,98.26302729528535,98.26302729528535,98.26421600320188,98.26301660016748
RF,500,2,99.50372208436724,99.50613634824161,99.5024783719713,99.50369458128078
SVM,500,2,99.87593052109182,99.87562189054727,99.87654320987654,99.87592880222034
NB,500,2,91.68734491315136,91.69150246305419,91.69021889720143,91.68733211726585
KNN,500,2,99.50372208436724,99.50370986114959,99.50370986114959,99.50370986114959
GBC,500,2,99.75186104218362,99.75429975429975,99.75062344139651,99.7518472906404
LR,500,2,99.87593052109182,99.8768472906404,99.87531172069825,99.87592574633126
DT,500,3,97.76674937965261,97.7739188265504,97.77038884270804,97.76673562878676
RF,500,3,99.50372208436724,99.50370986114959,99.50370986114959,99.50370986114959
SVM,500,3,99.87593052109182,99.8768472906404,99.87531172069825,99.87592574633126
NB,500,3,93.54838709677419,93.60963671222405,93.55808010837106,93.54695669846588
KNN,500,3,98.8833746898263,98.88793103448276,98.88642591053231,98.883372970976
GBC,500,3,99.13151364764268,99.13243189990641,99.13333949077922,99.13151231075912
LR,500,3,99.75186104218362,99.75185493057481,99.75185493057481,99.75185493057481
DT,500,4,97.89081885856079,97.89532019704433,97.8938456328315,97.89081561184358
RF,500,4,99.62779156327544,99.63235294117648,99.62593516209478,99.62776348664613
SVM,500,4,99.87593052109182,99.8768472906404,99.87531172069825,99.87592574633126
NB,500,4,92.3076923076923,92.33991953619332,92.31489178288845,92.30693441219758
KNN,500,4,99.25558312655087,99.25802777008097,99.25802777008097,99.25558312655087
GBC,500,4,99.62779156327544,99.62748140485691,99.62839814045135,99.62778640666106
LR,500,4,100.0,100.0,100.0,100.0
DT,500,5,97.51861042183623,97.51854930574797,97.51854930574797,97.51854930574797
RF,500,5,99.75186104218362,99.75186104218362,99.75308641975309,99.75185951430964
SVM,500,5,100.0,100.0,100.0,100.0
NB,500,5,89.82630272952854,90.13289675230848,89.8482189587759,89.81024094528007
KNN,500,5,99.37965260545906,99.37934091916654,99.38025307102613,99.37964401110176
GBC,500,5,99.50372208436724,99.50372208436724,99.50494135032788,99.50371902861927
LR,500,5,99.87593052109182,99.87562189054727,99.87654320987654,99.87592880222034
DT,600,1,98.21428571428571,98.21428571428572,98.21599404740815,98.21426989680677
RF,600,1,99.70238095238095,99.70237040711476,99.70237040711476,99.70237040711476
SVM,600,1,100.0,100.0,100.0,100.0
NB,600,1,95.53571428571429,95.53909931616059,95.53909931616059,95.53571428571429
KNN,600,1,98.80952380952381,98.81998582565556,98.81479644261772,98.80951326453784
GBC,600,1,99.70238095238095,99.70237040711476,99.70237040711476,99.70237040711476
LR,600,1,100.0,100.0,100.0,100.0
DT,600,2,97.47023809523809,97.47136517048021,97.46926265811572,97.47009803813013
RF,600,2,99.85119047619048,99.85250737463127,99.8502994011976,99.85118223753706
SVM,600,2,99.55357142857143,99.55486459911238,99.55266980831237,99.55354671261121
NB,600,2,94.64285714285714,94.67526942711288,94.65152535166354,94.64243004066013
KNN,600,2,98.66071428571429,98.66203109083662,98.66332423909577,98.66071131995669
GBC,600,2,99.70238095238095,99.70237040711476,99.70237040711476,99.70237040711476
LR,600,2,99.70238095238095,99.70237040711476,99.70237040711476,99.70237040711476
DT,600,3,98.51190476190477,98.54274697513628,98.50834846538818,98.51157516102454
RF,600,3,99.85119047619048,99.85119047619048,99.85163204747775,99.85119014666186
SVM,600,3,100.0,100.0,100.0,100.0
NB,600,3,94.19642857142857,94.27950310559005,94.2030205057797,94.19425583996987
KNN,600,3,98.95833333333334,98.9766081871345,98.96142433234421,98.95827566275946
GBC,600,3,99.55357142857143,99.55621301775149,99.55489614243324,99.55357043998556
LR,600,3,99.85119047619048,99.85207100591715,99.8507462686567,99.85118751038033
DT,600,4,96.875,96.89261031366294,96.87807254528545,96.87482698827839
RF,600,4,99.25595238095238,99.25858342486625,99.2572744585677,99.25595073330928
SVM,600,4,100.0,100.0,100.0,100.0
NB,600,4,94.19642857142857,94.22504254112309,94.20036316931662,94.19579877528874
KNN,600,4,98.80952380952381,98.82254963631047,98.81217060100093,98.80948162845907
GBC,600,4,99.70238095238095,99.70237831613447,99.70237831613447,99.70237831613447
LR,600,4,100.0,100.0,100.0,100.0
DT,600,5,97.31743666169895,97.32025446920424,97.316050391798,97.31728770190308
RF,600,5,99.70193740685544,99.70193144867535,99.70193144867535,99.70193144867535
SVM,600,5,100.0,100.0,100.0,100.0
NB,600,5,94.7839046199702,94.79960899315738,94.7884646137991,94.78371925148537
KNN,600,5,99.55290611028316,99.55489614243324,99.55489614243324,99.55290611028316
GBC,600,5,99.40387481371089,99.40691971425525,99.40253025107056,99.40384171153403
LR,600,5,100.0,100.0,100.0,100.0
